Var,percentile,est or se,CDH,CDL,CWH,CWL,CXH,CXL,WDL,WWL,CDLk,CDM,CWLk,CWM,CXLk,CXM,WWH,WWLk,WXH,WXL
CLAR,0,est,0.4219,0.118,0.5149,0.4083,0.5728,0.4664,0.1132,0.2507,0.3871,0.4387,0.4561,0.4049,0.4596,0.3275,0.3751,0.1543,0.3662,0.4269
CLAR,5,est,0.3641,0.0802,0.4507,0.3522,0.5115,0.4082,0.0665,0.2003,0.3324,0.3798,0.3922,0.3426,0.3995,0.2728,0.3184,0.0979,0.31,0.3724
CLAR,10,est,0.3248,0.0608,0.405,0.3144,0.4685,0.3684,0.0382,0.1683,0.296,0.3394,0.3468,0.2987,0.3578,0.2366,0.2801,0.0598,0.2722,0.3362
CLAR,15,est,0.312,0.068,0.3858,0.3032,0.4521,0.3552,0.0365,0.1628,0.2862,0.3255,0.3279,0.2814,0.3426,0.2268,0.2684,0.0483,0.261,0.3267
CLAR,20,est,0.3179,0.0939,0.3854,0.3108,0.4545,0.3607,0.0535,0.1761,0.2951,0.3304,0.3278,0.2828,0.3462,0.2359,0.2754,0.0556,0.2685,0.3359
CLAR,25,est,0.2948,0.0908,0.3559,0.2893,0.4278,0.3372,0.0415,0.1604,0.275,0.3063,0.2986,0.2552,0.3207,0.2159,0.2534,0.0338,0.247,0.3161
CLAR,30,est,0.2554,0.0713,0.3101,0.2515,0.3848,0.2974,0.0132,0.1283,0.2386,0.2658,0.2531,0.2112,0.2789,0.1795,0.215,-0.0043,0.2092,0.2799
CLAR,35,est,0.2122,0.048,0.2605,0.2099,0.338,0.2537,-0.019,0.0925,0.1984,0.2215,0.2039,0.1635,0.2333,0.1394,0.1729,-0.0462,0.1676,0.2399
CLAR,40,est,0.192,0.0478,0.2339,0.1913,0.3142,0.2331,-0.0281,0.0797,0.1812,0.2003,0.1776,0.1388,0.2107,0.1223,0.1537,-0.0651,0.149,0.223
CLAR,45,est,0.1799,0.0556,0.2154,0.1808,0.2985,0.2206,-0.0291,0.0749,0.1721,0.1871,0.1594,0.1221,0.1962,0.1133,0.1427,-0.0759,0.1384,0.2141
CLAR,50,est,0.1553,0.051,0.1844,0.1578,0.2703,0.1955,-0.0427,0.0576,0.1505,0.1614,0.1287,0.093,0.1692,0.0918,0.1191,-0.0993,0.1154,0.1928
CLAR,55,est,0.1322,0.0478,0.1549,0.1363,0.2436,0.172,-0.0547,0.0419,0.1304,0.1372,0.0995,0.0653,0.1437,0.0717,0.097,-0.1211,0.0939,0.1729
CLAR,60,est,0.1031,0.0387,0.1194,0.1088,0.2109,0.1425,-0.0728,0.0201,0.1042,0.107,0.0643,0.0317,0.1122,0.0457,0.069,-0.1489,0.0663,0.147
CLAR,65,est,0.0632,0.0187,0.0731,0.0705,0.1674,0.1022,-0.1016,-0.0124,0.0673,0.0661,0.0184,-0.0128,0.07,0.0089,0.0302,-0.1875,0.028,0.1104
CLAR,70,est,0.0323,0.0078,0.0358,0.0412,0.1329,0.0708,-0.1214,-0.036,0.0394,0.0341,-0.0186,-0.0482,0.0367,-0.0189,0.0003,-0.2171,-0.0013,0.0827
CLAR,75,est,0.0236,0.019,0.0207,0.0342,0.1206,0.0617,-0.119,-0.0373,0.0337,0.0243,-0.0334,-0.0614,0.0256,-0.0245,-0.0073,-0.2245,-0.0084,0.0773
CLAR,80,est,0.0099,0.0253,0.0006,0.0221,0.1033,0.0476,-0.1217,-0.0436,0.023,0.0096,-0.0531,-0.0797,0.0095,-0.0351,-0.02,-0.2369,-0.0205,0.0668
CLAR,85,est,-0.0126,0.0227,-0.0283,0.0012,0.0772,0.0247,-0.1331,-0.0588,0.0035,-0.014,-0.0817,-0.1067,-0.0154,-0.0545,-0.0414,-0.2581,-0.0415,0.0476
CLAR,90,est,-0.0425,0.0128,-0.0646,-0.0271,0.0437,-0.0057,-0.1519,-0.0814,-0.0234,-0.045,-0.1177,-0.1411,-0.0476,-0.0814,-0.0703,-0.2867,-0.0698,0.0209
CLAR,95,est,-0.0795,-0.0043,-0.108,-0.0625,0.0031,-0.0431,-0.1779,-0.111,-0.0574,-0.0831,-0.1608,-0.1827,-0.087,-0.1153,-0.1062,-0.3224,-0.1052,-0.0128
CLAR,100,est,-0.1237,-0.0285,-0.1585,-0.1051,-0.0447,-0.0877,-0.211,-0.1479,-0.0986,-0.1284,-0.2111,-0.2314,-0.1336,-0.1564,-0.1494,-0.3653,-0.1478,-0.0538
CLAR,0,se,0.07613,0.08849,0.03455,0.04735,0.06357,0.09491,0.13334,0.05438,0.13926,0.12475,0.07204,0.0832,0.0956,0.10255,0.11981,0.12462,0.12629,0.11635
CLAR,5,se,0.06773,0.0825,0.03026,0.0424,0.05783,0.08858,0.12513,0.04887,0.13157,0.11775,0.065,0.07988,0.08917,0.09835,0.1131,0.11621,0.119,0.10826
CLAR,10,se,0.06279,0.07853,0.03067,0.0416,0.05613,0.08518,0.11838,0.04696,0.12574,0.11377,0.06126,0.07802,0.08612,0.09637,0.10886,0.10966,0.11446,0.10214
CLAR,15,se,0.05679,0.07265,0.02676,0.03765,0.05352,0.08139,0.11065,0.04225,0.11935,0.10993,0.05621,0.07429,0.08348,0.09331,0.10403,0.10274,0.11047,0.09509
CLAR,20,se,0.05388,0.06803,0.02826,0.03679,0.05466,0.08012,0.10414,0.04022,0.11447,0.10814,0.05431,0.07316,0.08391,0.09224,0.10076,0.0983,0.1088,0.08994
CLAR,25,se,0.05018,0.06272,0.02814,0.03438,0.057,0.07961,0.09755,0.03806,0.11042,0.10658,0.05338,0.07399,0.08437,0.09247,0.09914,0.09363,0.10705,0.08527
CLAR,30,se,0.04831,0.05902,0.03024,0.03432,0.06154,0.08147,0.09178,0.03778,0.1085,0.10665,0.05536,0.07708,0.08656,0.09476,0.09942,0.09016,0.1068,0.08286
CLAR,35,se,0.04537,0.05452,0.03001,0.0329,0.06536,0.08375,0.08514,0.03527,0.10711,0.10705,0.05749,0.07994,0.08888,0.09725,0.09973,0.08658,0.10688,0.08078
CLAR,40,se,0.04438,0.04889,0.02948,0.03017,0.06929,0.08653,0.07779,0.02978,0.10575,0.10811,0.06033,0.08275,0.09189,0.10011,0.10054,0.08342,0.1077,0.07915
CLAR,45,se,0.04952,0.04643,0.03538,0.03299,0.07648,0.09222,0.07285,0.02894,0.10674,0.1118,0.06677,0.08862,0.0978,0.10541,0.10418,0.08346,0.11124,0.08083
CLAR,50,se,0.05543,0.04537,0.04189,0.03737,0.08464,0.09925,0.0691,0.03078,0.10982,0.11683,0.07453,0.09598,0.10494,0.11188,0.10941,0.08532,0.11618,0.08452
CLAR,55,se,0.05953,0.04263,0.04515,0.03907,0.09198,0.10596,0.06468,0.03065,0.11355,0.12184,0.08159,0.10272,0.11173,0.11806,0.11469,0.08732,0.12112,0.08838
CLAR,60,se,0.06238,0.03826,0.04598,0.03859,0.0991,0.11247,0.06008,0.02917,0.1176,0.12687,0.08797,0.10894,0.11831,0.12407,0.12006,0.08934,0.12612,0.09242
CLAR,65,se,0.06645,0.03632,0.04787,0.03975,0.1073,0.12002,0.05792,0.03085,0.123,0.13302,0.0953,0.116,0.12584,0.13103,0.12661,0.09283,0.13226,0.0979
CLAR,70,se,0.0729,0.03842,0.05257,0.04354,0.11649,0.12885,0.0586,0.03534,0.1299,0.14052,0.10403,0.1243,0.13456,0.13921,0.13454,0.09839,0.13976,0.10486
CLAR,75,se,0.07865,0.03795,0.05563,0.04408,0.12437,0.13699,0.05754,0.03484,0.13627,0.14755,0.11181,0.1319,0.14259,0.14678,0.14192,0.10347,0.1468,0.11097
CLAR,80,se,0.08649,0.04237,0.06117,0.04845,0.13357,0.14651,0.05995,0.03889,0.14439,0.15603,0.12117,0.1409,0.15194,0.15569,0.15079,0.11034,0.15531,0.11946
CLAR,85,se,0.09382,0.04493,0.06524,0.05135,0.14221,0.15566,0.06167,0.04084,0.15244,0.16432,0.12996,0.14948,0.16094,0.16429,0.15945,0.11696,0.16364,0.12784
CLAR,90,se,0.10013,0.04402,0.06766,0.05271,0.15007,0.16423,0.06191,0.04034,0.16014,0.17219,0.13796,0.15742,0.16938,0.17236,0.16766,0.12325,0.17156,0.13562
CLAR,95,se,0.10765,0.04441,0.07188,0.05755,0.15877,0.17366,0.06481,0.04338,0.16893,0.18099,0.14689,0.16623,0.17866,0.18128,0.17681,0.13091,0.18042,0.14447
CLAR,100,se,0.12271,0.06116,0.08709,0.07574,0.17276,0.18803,0.08065,0.06296,0.18297,0.19466,0.16152,0.18016,0.19275,0.19498,0.19091,0.14514,0.19416,0.15923
COND,0,est,1.835,2.067,1.929,2.112,1.852,1.862,2.252,2.156,1.986,1.996,2.007,1.907,1.829,1.848,1.873,2.173,1.998,2.066
COND,5,est,1.848,2.072,1.939,2.113,1.86,1.865,2.256,2.155,1.992,2.002,2.017,1.915,1.836,1.856,1.88,2.175,2.004,2.067
COND,10,est,1.866,2.083,1.954,2.118,1.873,1.873,2.265,2.159,2.003,2.013,2.033,1.928,1.849,1.87,1.892,2.182,2.015,2.073
COND,15,est,1.889,2.099,1.975,2.129,1.891,1.887,2.28,2.169,2.019,2.029,2.053,1.946,1.867,1.888,1.909,2.194,2.032,2.085
COND,20,est,1.908,2.111,1.991,2.136,1.905,1.895,2.29,2.174,2.031,2.041,2.07,1.961,1.88,1.903,1.922,2.202,2.045,2.092
COND,25,est,1.918,2.113,1.998,2.134,1.91,1.895,2.291,2.17,2.034,2.043,2.077,1.966,1.885,1.908,1.926,2.201,2.048,2.09
