"","FARM_ID","x","y","NZREACH","Elev","estname","DrainType","AREA"
"522","IN03267",1268667,4841381,15061316,10.94,"","PD",6024221
"568","SL00054",1260618,4851001,15059992,39.58,"","WD",304396082.9
"612","SL00117",1264843,4852485,15059656,49,"","WD",304396082.9
"645","SL00162",1261771,4850264,15059994,39.03,"","WD",304396082.9
"652","SL00171",1264453,4845661,15060712,29.95,"","PD",66356203.36
"653","SL00172",1266189,4848387,15060092,43.72,"","PD",66356203.36
"684","SL00232",1259568,4840687,15061414,11.58,"","PD",19362698.26
"690","SL00248",1259914,4846338,15060594,23.48,"","PD",37421585.38
"698","SL00257",1260002,4842033,15061151,15.13,"","PD",37421585.38
"707","SL00282",1257281,4837232,15061904,9.96,"","PD",19362698.26
"708","SL00283",1261013,4841997,15061126,19.86,"","PD",19362698.26
"715","SL00296",1263306,4849020,15060189,38.55,"","PD",66356203.36
"755","SL00374",1264733,4852649,15059656,49,"","WD",304396082.9
"761","SL00381",1265293,4853555,15059476,54.64,"","WD",304396082.9
"946","SL00706",1267152,4840747,15061427,8.68,"","PD",4306869.563
"948","SL00710",1265345,4842078,15061152,28.39,"","PD",18905978.04
"968","SL00738",1260386,4850120,15060027,39.57,"","WD",304396082.9
"1129","SL00997",1271530,4840521,15061472,10.82,"","PD",27434683.63
"1151","SL01041",1267021,4834814,15062262,5.48,"","PD",4640085.188
"1306","SL01284",1265782,4844267,15060873,25.33,"","PD",66356203.36
"1331","SL01325",1258879,4837366,15061864,10.25,"","PD",19362698.26
"1336","SL01332",1267792,4836936,15062040,5.14,"","PD",27434683.63
"1379","SL01410",1263661,4846442,15060552,32.33,"","PD",66356203.36
"1423","SL01480",1261251,4836845,15061716,13.17,"","PD",4530831.188
"1427","SL01485",1266226,4852983,15059586,55,"","WD",304396082.9
"1449","SL01536",1264696,4851279,15059808,41.39,"","PD",66356203.36
"1495","SL01620",1258488,4836054,15062012,8.78,"","PD",18223879.63
"1564","SL01750",1262446,4843367,15060952,25.29,"","PD",19362698.26
"1609","SL01826",1265929,4840428,15061417,19.83,"","PD",4306869.563
"1619","SL01846",1266500,4837197,15061710,7.25,"","PD",6024221
"1627","SL01865",1260031,4839334,15061471,10.53,"","PD",18223879.63
"1655","SL01916",1263150,4839947,15061376,20.1,"","PD",18223879.63
"1680","SL01964",1263153,4837809,15061716,13.17,"","PD",5896437.5
"1684","SL01970",1257545,4839444,15061626,13.35,"","PD",3599044.188
"1717","SL02050",1264500,4839758,15061515,20.03,"","PD",18223879.63
"1819","SL02211",1265482,4850445,15059980,39.98,"","PD",66356203.36
"1829","SL02227",1269415,4834805,15062192,6.21,"","PD",4640085.188
"1918","SL02379",1262568,4846192,15060507,22.11,"","PD",66356203.36
"1928","SL02390",1259044,4842252,15061018,16.17,"","PD",37421585.38
"1941","SL02411",1267587,4852642,15059319,53.24,"","WD",304396082.9
"1962","SL02442",1258858,4839323,15061414,11.58,"","PD",19362698.26
"1965","SL02448",1264389,4843024,15061066,29.24,"","PD",66356203.36
"1983","SL02487",1262745,4846123,15060507,22.11,"","PD",66356203.36
"2069","SL02640",1264590,4837162,15061973,9.77,"","PD",18905978.04
"2092","SL02698",1260310,4844611,15060804,19.97,"","PD",66356203.36
"2093","SL02700",1262815,4842649,15060952,25.29,"","PD",18905978.04
"2114","SL02764",1260031,4839334,15061471,10.53,"","PD",18223879.63
"2127","SL02803",1266681,4850174,15060007,44.51,"","PD",66356203.36
"2164","SL02886",1258280,4841850,15061162,16.68,"","PD",76910960.81
"2224","SL03019",1263775,4851578,15059752,42.78,"","WD",304396082.9
"2229","SL03031",1259537,4835662,15062013,8.87,"","PD",18223879.63
"2276","SL03161",1260614,4849316,15060110,36.82,"","PD",44944211.44
"2304","SL03203",1264286,4843979,15060832,29.89,"","PD",3273698.688
"2405","SL03411",1262789,4841492,15061205,19.57,"","PD",19362698.26
"2432","SL03461",1259982,4848230,15060491,27.76,"","PD",44944211.44
"2454","SL03509",1260893,4843937,15060880,19.59,"","PD",66356203.36
"2457","SL03516",1258883,4844636,15060879,19.96,"","PD",37421585.38
"2470","SL03547",1260644,4838136,15061761,9.82,"","PD",4530831.188
"2475","SL03556",1259450,4843349,15061015,17.84,"","PD",37421585.38
"2483","SL03586",1263678,4845860,15060781,29.39,"","PD",66356203.36
"2493","SL03608",1261480,4844664,15060742,20.09,"","PD",66356203.36
"2503","SL03634",1266868,4851521,15059864,49.09,"","WD",304396082.9
"2611","SL03862",1264545,4847156,15060444,37.11,"","PD",66356203.36
"2638","SL03922",1257474,4838551,15061675,12.34,"","PD",19362698.26
"2801","SL04263",1261519,4848178,15060290,29.53,"","PD",66356203.36
"2846","SL04364",1267532,4853737,15059319,53.24,"","WD",304396082.9
"2879","SL04418",1267609,4850807,15059834,50.07,"","PD",66356203.36
"2882","SL04423",1262034,4841437,15061205,19.57,"","PD",19362698.26
"2908","SL04480",1263309,4848266,15060437,29.56,"","PD",66356203.36
"2919","SL04507",1263794,4845132,15060781,29.39,"","PD",66356203.36
"3000","SL04685",1266863,4838591,15061532,6.61,"","PD",18905978.04
"3012","SL04709",1262730,4849382,15060087,39.42,"","PD",66356203.36
"3069","SL04863",1265207,4848365,15060007,44.51,"","PD",5803353.813
"3087","SL04900",1260213,4840006,15061416,10.2,"","PD",18223879.63
"3092","SL04912",1263638,4841692,15061163,25.37,"","PD",18905978.04
"3128","SL06001",1260825,4847179,15060491,27.76,"","PD",5803353.813
"3209","SL36001",1260055,4839652,15061471,10.53,"","PD",18223879.63
