,SITE,LOC,nzreach,CATCHAREA,GaugeNumber,LargestLakeInletNZREACH
1,1,Waitohu Stream at Water Supply Intake,9000886,19200000,1,NA
1014623,1014623,Cookson's Wash at SH30 Culvert,4010898,11160000,1014623,NA
1014638,1014638,Sewage Bypass at Rotorua Treat,4012919,794700,1014638,NA
1014641,1014641,Ngongotaha at SH5 Br -Ratings,4010487,72910648,1014641,NA
1014642,1014642,Sewage Outflow at Rotorua Trea,4012919,794700,1014642,NA
1014643,1014643,Fenton St Drain at Lake Front,4010790,82114128,1014643,NA
1014645,1014645,Pomare at Diana Place -Ratings,4012734,361800,1014645,NA
1014646,1014646,Te Ngae Drain at Te Ngae Rd -R,4012919,794700,1014646,NA
1014647,1014647,Utuhina at Hunts Farm -Ratings,4013243,7390935,1014647,NA
1014648,1014648,Waipa at Whaka Forest -Ratings,4014506,10980900,1014648,NA
1014649,1014649,Mangakakahi at Pukehangi Rd Br,4012477,6878700,1014649,NA
1032563,1032563,Mangaore at Downstream PS -Ra*,7045147,23527800,1032563,NA
1043419,1043419,Pokaiwhenua at Puketurua -Rive,3023849,431288256,1043419,NA
1043427,1043427,Mangakino at Dillon Rd -River,3034939,341495936,1043427,NA
1043428,1043428,Tahunaatara at Ohakuri Rd -Riv,3032287,196152912,1043428,NA
1043434,1043434,Mangakara at Hirsts -River lev,3037027,22315500,1043434,NA
1043459,1043459,Tongariro at Turangi -River le,3048532,784152064,1043459,NA
1043461,1043461,Tongariro at upper dam-river l,3050479,179982528,1043461,NA
1043464,1043464,Poutu at Footbridge -River lev,3049385,146743136,1043464,NA
1043465,1043465,Oturere at Desert Rd -River l*,3050191,27347416,1043465,NA
1043466,1043466,Waihohonu at Desert Rd -River,3050421,96062584,1043466,NA
1043476,1043476,Otutira at Otutaru -Ratings,3042529,1097100,1043476,NA
1043494,1043494,Little Waipa at Puketurua -Riv,3024144,101944768,1043494,NA
1114609,1114609,Kaituna at Taaheke -River leve,4007818,627586048,1114609,NA
1114616,1114616,Utuhina Springs at Rockface -R,4013407,31695214,1114616,NA
1143407,1143407,Purukohukohu at Weir. -River l,3036522,3756600,1143407,NA
1143408,1143408,Purukohukohu at Puruorakau -Ra,3035848,722700,1143408,NA
1143409,1143409,Purukohukohu at Puruki -Rating,3036104,371700,1143409,NA
1143427,1143427,Te Tahi at Puketotara -Ratings,3023350,3194100,1143427,NA
1143428,1143428,Ohote at Rotokauri -Ratings,3017416,18524700,1143428,NA
1143442,1143442,Purukohukohu at Purutaka -Rive,3035848,722700,1143442,NA
1143444,1143444,Waikato at Reids Farm -River l,3043220,3445102080,1143444,NA
12,12,Hutt River at Kaitoke Weir,9.00E+06,86800000,12,NA
1243461,1243461,Whareroa at Fish Trap -Ratings,3047049,59351400,1243461,NA
