"","x"
"1",7042237
"2",7042209
"3",7042238
"4",7041981
"5",7042190
"6",7042303
"7",7042304
"8",7041944
"9",7041982
"10",7041942
"11",7042120
"12",7042562
"13",7042563
"14",7041906
"15",7041943
"16",7041841
"17",7041941
"18",7042580
"19",7042581
"20",7042771
"21",7042783
"22",7041888
"23",7041905
"24",7041759
"25",7041823
"26",7042526
"27",7042588
"28",7042830
"29",7042831
"30",7042502
"31",7042739
"32",7042805
"33",7042814
"34",7041842
"35",7041889
"36",7042464
"37",7042521
"38",7042637
"39",7042638
"40",7042813
"41",7042925
"42",7042352
"43",7042483
"44",7042963
"45",7042964
"46",7041702
"47",7041711
"48",7042447
"49",7042520
"50",7042228
"51",7042353
"52",7043016
"53",7043017
"54",7041498
"55",7041703
"56",7041590
"57",7041710
"58",7042191
"59",7042210
"60",7043234
"61",7043284
"62",7041472
"63",7041490
"64",7041421
"65",7041530
"66",7041694
"67",7041701
"68",7042133
"69",7042173
"70",7043384
"71",7043385
"72",7041386
"73",7041426
"74",7041721
"75",7041784
"76",7041407
"77",7041420
"78",7041478
"79",7041519
"80",7042040
"81",7042071
"82",7043458
"83",7043492
"84",7043633
"85",7043634
"86",7041209
"87",7041356
"88",7041473
"89",7041509
"90",7041320
"91",7041334
"92",7042041
"93",7042121
"94",7043371
"95",7043500
"96",7043716
"97",7043730
"98",7043757
"99",7043762
"100",7041081
"101",7041171
"102",7041602
"103",7041728
"104",7042389
"105",7042465
"106",7043531
"107",7043532
"108",7043731
"109",7043871
"110",7043936
"111",7043982
"112",7041060
"113",7041061
"114",7041118
"115",7041170
"116",7042649
"117",7042701
"118",7042295
"119",7042466
"120",7043676
"121",7043701
"122",7043509
"123",7043659
"124",7043660
"125",7043872
"126",7044038
"127",7044055
"128",7044039
"129",7044040
"130",7040944
"131",7041031
"132",7040917
"133",7041062
"134",7042683
"135",7042684
"136",7042717
"137",7042728
"138",7042217
"139",7042311
"140",7042478
"141",7042527
"142",7043810
"143",7044404
"144",7043549
"145",7043668
"146",7043247
"147",7043669
"148",7043923
"149",7044021
"150",7044065
"151",7044066
"152",7044694
