Section,Lon,Lat,NZE,NZN
North Island,172.681,-34.438,2481752.28,6751724.424
North Island,172.67999,-34.422,2481659.531,6753499.384
North Island,172.752,-34.44,2488277.933,6751500.035
North Island,172.832,-34.445,2495629.817,6750937.328
North Island,172.87801,-34.411,2499865.422,6754701.761
North Island,172.98199,-34.417,2509422.987,6754013.253
North Island,173.045,-34.41,2515218.074,6754771.253
North Island,173.013,-34.464,2512257.114,6748791.075
North Island,172.998,-34.518,2510860.81,6742805.124
North Island,172.959,-34.497,2507285.903,6745144.851
North Island,172.94099,-34.479,2505636.732,6747145.865
North Island,172.89799,-34.475,2501687.465,6747598.619
North Island,172.918,-34.522,2503513.957,6742380.777
North Island,172.87199,-34.521,2499289.504,6742500.339
North Island,172.88699,-34.551,2500660.302,6739169.635
North Island,172.935,-34.529,2505073.011,6741600.585
North Island,172.924,-34.56,2504055.133,6738163.959
North Island,172.938,-34.578,2505335.182,6736164.038
North Island,172.953,-34.582,2506710.442,6735716.84
North Island,172.97501,-34.621,2508717.959,6731384.821
North Island,172.981,-34.562,2509285.907,6737928.61
North Island,172.987,-34.531,2509846.563,6741365.994
North Island,173.005,-34.594,2511477.63,6734372.131
North Island,173.041,-34.675,2514749.776,6725375.367
North Island,173.10699,-34.732,2520772.674,6719029.265
North Island,173.157,-34.773,2525332.823,6714461.111
North Island,173.173,-34.818,2526774.48,6709461.873
North Island,173.129,-34.784,2522764.324,6713251.844
North Island,173.09599,-34.772,2519747.85,6714595.44
North Island,173.147,-34.827,2524391.113,6708474.042
North Island,173.222,-34.877,2531224.612,6702894.17
North Island,173.27499,-34.913,2536047.387,6698874.125
North Island,173.23599,-34.94,2532467.344,6695897.691
North Island,173.23199,-35.004,2532065.235,6688798.526
North Island,173.256,-35.005,2534256.693,6688676.021
North Island,173.315,-34.992,2539651.735,6690087.846
North Island,173.31799,-34.909,2539980.036,6699295.119
North Island,173.31799,-34.857,2540014.749,6705064.371
North Island,173.392,-34.815,2546814.701,6709680.79
North Island,173.41299,-34.815,2548735.259,6709667.636
North Island,173.451,-34.839,2552193.621,6706980.224
North Island,173.405,-34.88,2547954.652,6702461.367
North Island,173.38901,-34.93,2546455.515,6696923.953
North Island,173.39799,-34.981,2547237.673,6691260.02
North Island,173.481,-34.991,2554809.598,6690096.061
North Island,173.53799,-35.006,2559999.586,6688390.886
North Island,173.561,-35.024,2562083.433,6686376.463
North Island,173.55299,-34.977,2561395.625,6691597.102
North Island,173.53101,-34.94,2559421.578,6695718.56
North Island,173.57201,-34.93,2563176.805,6696796.959
North Island,173.623,-34.946,2567819.876,6694981.138
North Island,173.68401,-34.949,2573390.148,6694596.541
North Island,173.718,-34.986,2576454.389,6690461.337
North Island,173.73599,-35.008,2578072.388,6688004.115
North Island,173.703,-35.053,2575012.124,6683041.443
North Island,173.739,-35.082,2578264.03,6679791.303
North Island,173.769,-35.036,2581053.309,6684866.738
North Island,173.784,-35.007,2582456.119,6688069.772
North Island,173.843,-35.003,2587846.871,6688455.046
North Island,173.896,-35.02,2592663.144,6686513.784
North Island,173.93401,-35.078,2596054.731,6680037.87
North Island,173.959,-35.13,2598262.971,6674240.948
